type,url,modify,title,date,duration,description,thumbnail,tags,extra1,extra2
video,https://www.youtube.com/watch?v=3UpWJEhHOdI,,5 Google Sheets Tricks you might not know!,2021-04-12,05:02,"I cannot make it personally to the XKE, so I have decided to make a video as a replacement for my talk. I hope you can learn one thing or two from this video.",https://i.ytimg.com/vi/3UpWJEhHOdI/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=RVxU9tYB6-o,,Juan Manuel Perafan: 7 Habits of Highly Latin People | TED-XKE 2022,2022-12-01,05:04,"My company organized a TED-like event and I gave a short talk. It has absolute nothing to do with data, but I am uploading it to this channel, just to be able to share it.",https://i.ytimg.com/vi/RVxU9tYB6-o/maxresdefault.jpg,,,
talk,https://www.meetup.com/analytics-engineering/events/290437056/,,"Analytics Engineering Meetup: 7th Meetup, Thu, Jan 19, 2023, 5:30 PM   | Meetup",,,"**Get ready for the 7th Analytics Engineering Meetup!**

Does half of your company think you&#x27;re too technical while the other half thinks all you do is create colourful cha",https://secure.meetupstatic.com/photos/event/9/9/c/c/600_509979372.jpeg,,,
video,https://www.youtube.com/watch?v=MqfngHF-q7w,,GoDataFest 2020   Analytics Engineer,2021-02-04,10:41,,https://i.ytimg.com/vi/MqfngHF-q7w/maxresdefault.jpg,,,
talk,https://bigdatatechwarsaw.eu/prelegenci/juan-manuel-perafan/,,Juan Manuel Perafan - Data &amp; AI Warsaw Tech Summit | Data &amp; AI Warsaw Tech Summit,,,"Juan Manuel Perafan Analytics Engineer, Xebia Born and raised in Colombia, living in the Netherlands since 2011. My ideal working week involves learning new technologies, debugging code, writing difficult calculations, teaching organizations about data visualization, and networking at a Meetup.",https://bigdatatechwarsaw.eu/wp-content/uploads/2021/12/Juan-Manuel-Perafan.jpg,,,
talk,https://www.youtube.com/watch?v=TCyU09dd4ZE&t=20723s,,"GoDataFest / Club Cloud - Friday, November 5th - Live Stream",2021-10-26,07:19:10,"It's your business, we accelerate it.

We are a group of highly ambitious craftsmen. From digital strategy to technology implementation. As such we are a one-stop shop for full-stack digital transf...",https://i.ytimg.com/vi/TCyU09dd4ZE/maxresdefault.jpg,,,
podcast,https://www.youtube.com/watch?v=TLv3B9dSoVU,,Data Democratization - Webinar with Juan Manuel Perafan and Bram Ochsendorf,2022-01-19,51:29,"Embracing analytics throughout an organization can fuel innovation, business agility, and growth, making data integral to many modern business strategies. Data Democratization increases the usage o...",https://i.ytimg.com/vi/TLv3B9dSoVU/hqdefault.jpg,,,
podcast,https://www.linkedin.com/events/7176978813732487169/,,"LinkedIn Login, Sign in | LinkedIn",,,"Login to LinkedIn to keep in touch with people you know, share ideas, and build your career.",https://static.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico,,,
talk,https://usergroups.snowflake.com/events/details/snowflake-netherlands-presents-snowflake-and-dbt-a-hands-on-experience/,,See Snowflake and dbt - a Hands-on Experience at Snowflake User Groups Netherlands,,,"Snowflake User Groups Netherlands presents Snowflake and dbt - a Hands-on Experience | Jul 15, 2025. Find event and ticket information.","https://res.cloudinary.com/startup-grind/image/upload/c_fill,dpr_2.0,f_auto,g_center,h_1080,q_100,w_1080/v1/gcs/platform-data-snowflake/events/Amsterdam%20User%20Group%20Meeting%20July%2015_Laqbv8f.png",,,
talk,https://www.youtube.com/watch?v=XelmswFijtw,,dbt turbocharge: Boosting performance of your data models - Coalesce 2023,2023-10-24,30:23,"Performance is a crucial factor in delivering timely and accurate data to organizations. However, debugging the performance of dbt models can be a challenge, as most resources available focus on le...",https://i.ytimg.com/vi/XelmswFijtw/maxresdefault.jpg,,,
